"info, a, b, c, d, k, p, q, r, s, LB, UB, epsilon"
1,      1,    0,   -3, -2,  NaN,p,  q,   r,  s,   LB,  UB,    10
1,1,0,-2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01
2,1,0,-9,NaN,1,NaN,1,1,4,8,10,0.0005
2,1,-2,3,0,2,NaN,1,3,2,0,1,0.001
1,1,0,-2,1,NaN,p,q,r,s,LB,UB,10
1,1,0,-2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,0,2,NaN,1,3,2,0,1,0.001
2,1,-2,3,0,2,NaN,1,3,2,0,1,0.001
2,5,2,1,0,2,NaN,1,3,2,-10,20,0.001
1,1,1,-7,-120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005
1,NaN,1,1,-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005
1,0.5,2,-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0005
1,2,-1,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0001
1,0.5,2,-8,4,NaN,-11,NaN,NaN,NaN,NaN,NaN,0.05
